,attendance,date,home,home_goals,season,visitor,visitor_goals
0,17565,2014-10-08,Boston Bruins,2,2015,Philadelphia Flyers,1
1,19289,2014-10-08,Calgary Flames,2,2015,Vancouver Canucks,4
2,18514,2014-10-08,Los Angeles Kings,0,2015,San Jose Sharks,4
3,19745,2014-10-08,Toronto Maple Leafs,3,2015,Montreal Canadiens,4
4,17125,2014-10-09,Arizona Coyotes,2,2015,Winnipeg Jets,6
5,18215,2014-10-09,Buffalo Sabres,1,2015,Columbus Blue Jackets,3
6,18768,2014-10-09,Dallas Stars,2,2015,Chicago Blackhawks,3
7,20027,2014-10-09,Detroit Red Wings,2,2015,Boston Bruins,1
8,16839,2014-10-09,Edmonton Oilers,2,2015,Calgary Flames,5
9,19098,2014-10-09,Minnesota Wild,5,2015,Colorado Avalanche,0
10,17113,2014-10-09,Nashville Predators,3,2015,Ottawa Senators,2
11,19801,2014-10-09,Philadelphia Flyers,4,2015,New Jersey Devils,6
12,18633,2014-10-09,Pittsburgh Penguins,6,2015,Anaheim Ducks,4
13,19183,2014-10-09,St. Louis Blues,2,2015,New York Rangers,3
14,19204,2014-10-09,Tampa Bay Lightning,3,2015,Florida Panthers,2
15,18506,2014-10-09,Washington Capitals,1,2015,Montreal Canadiens,2
16,18680,2014-10-10,Carolina Hurricanes,3,2015,New York Islanders,5
17,12859,2014-10-11,Arizona Coyotes,3,2015,Los Angeles Kings,2
18,17565,2014-10-11,Boston Bruins,0,2015,Washington Capitals,4
19,18922,2014-10-11,Columbus Blue Jackets,5,2015,New York Rangers,2
20,22012,2014-10-11,Chicago Blackhawks,6,2015,Buffalo Sabres,2
21,18139,2014-10-11,Colorado Avalanche,0,2015,Minnesota Wild,3
22,20027,2014-10-11,Detroit Red Wings,2,2015,Anaheim Ducks,3
23,11419,2014-10-11,Florida Panthers,1,2015,New Jersey Devils,5
24,17113,2014-10-11,Nashville Predators,4,2015,Dallas Stars,1
25,16170,2014-10-11,New York Islanders,4,2015,Carolina Hurricanes,3
26,19745,2014-10-11,Philadelphia Flyers,3,2015,Montreal Canadiens,4
27,17562,2014-10-11,San Jose Sharks,3,2015,Winnipeg Jets,0
28,17120,2014-10-11,St. Louis Blues,4,2015,Calgary Flames,1
29,19204,2014-10-11,Tampa Bay Lightning,2,2015,Ottawa Senators,3
30,19039,2014-10-11,Toronto Maple Leafs,2,2015,Pittsburgh Penguins,5
31,18870,2014-10-11,Vancouver Canucks,5,2015,Edmonton Oilers,4
32,18230,2014-10-12,Los Angeles Kings,4,2015,Winnipeg Jets,1
33,18006,2014-10-12,New York Rangers,3,2015,Toronto Maple Leafs,6
34,17565,2014-10-13,Boston Bruins,1,2015,Colorado Avalanche,2
35,18912,2014-10-13,Buffalo Sabres,1,2015,Anaheim Ducks,5
36,7311,2014-10-13,Florida Panthers,0,2015,Ottawa Senators,1
37,17622,2014-10-13,Tampa Bay Lightning,7,2015,Montreal Canadiens,1
38,14930,2014-10-14,Carolina Hurricanes,3,2015,Buffalo Sabres,4
39,15995,2014-10-14,Columbus Blue Jackets,2,2015,Dallas Stars,4
40,18230,2014-10-14,Los Angeles Kings,6,2015,Edmonton Oilers,1
41,15654,2014-10-14,Nashville Predators,2,2015,Calgary Flames,3
42,18006,2014-10-14,New York Rangers,3,2015,New York Islanders,6
43,19589,2014-10-14,Philadelphia Flyers,3,2015,Anaheim Ducks,4
44,18064,2014-10-14,Tampa Bay Lightning,1,2015,New Jersey Devils,2
45,18754,2014-10-14,Toronto Maple Leafs,3,2015,Colorado Avalanche,2
46,18506,2014-10-14,Washington Capitals,5,2015,San Jose Sharks,6
47,11648,2014-10-15,Arizona Coyotes,7,2015,Edmonton Oilers,4
48,21112,2014-10-15,Chicago Blackhawks,1,2015,Calgary Flames,2
49,20027,2014-10-15,Detroit Red Wings,2,2015,Boston Bruins,3
50,18230,2014-10-16,Los Angeles Kings,1,2015,St. Louis Blues,0
51,21287,2014-10-16,Montreal Canadiens,6,2015,Boston Bruins,4
52,11248,2014-10-16,New York Islanders,4,2015,San Jose Sharks,3
53,18006,2014-10-16,New York Rangers,2,2015,Carolina Hurricanes,1
54,19913,2014-10-16,Ottawa Senators,5,2015,Colorado Avalanche,3
55,18615,2014-10-16,Pittsburgh Penguins,2,2015,Dallas Stars,3
56,18506,2014-10-16,Washington Capitals,6,2015,New Jersey Devils,2
57,17306,2014-10-17,Anaheim Ducks,2,2015,Minnesota Wild,1
58,17864,2014-10-17,Buffalo Sabres,0,2015,Florida Panthers,1
59,15987,2014-10-17,Columbus Blue Jackets,3,2015,Calgary Flames,2
60,16839,2014-10-17,Edmonton Oilers,0,2015,Vancouver Canucks,2
61,19054,2014-10-17,Toronto Maple Leafs,1,2015,Detroit Red Wings,4
62,15016,2014-10-17,Winnipeg Jets,0,2015,Nashville Predators,2
63,11100,2014-10-18,Arizona Coyotes,1,2015,St. Louis Blues,6
64,18685,2014-10-18,Buffalo Sabres,0,2015,Boston Bruins,4
65,21640,2014-10-18,Chicago Blackhawks,2,2015,Nashville Predators,1
66,18532,2014-10-18,Dallas Stars,5,2015,Philadelphia Flyers,6
67,20027,2014-10-18,Detroit Red Wings,1,2015,Toronto Maple Leafs,0
68,21287,2014-10-18,Montreal Canadiens,3,2015,Colorado Avalanche,2
69,16592,2014-10-18,New Jersey Devils,2,2015,San Jose Sharks,4
70,18994,2014-10-18,Ottawa Senators,3,2015,Columbus Blue Jackets,2
71,18655,2014-10-18,Pittsburgh Penguins,3,2015,New York Islanders,1
72,18647,2014-10-18,Vancouver Canucks,2,2015,Tampa Bay Lightning,4
73,18506,2014-10-18,Washington Capitals,2,2015,Florida Panthers,1
74,15687,2014-10-19,Anaheim Ducks,3,2015,St. Louis Blues,0
75,18230,2014-10-19,Los Angeles Kings,2,2015,Minnesota Wild,1
76,18006,2014-10-19,New York Rangers,4,2015,San Jose Sharks,0
77,15016,2014-10-19,Winnipeg Jets,1,2015,Calgary Flames,4
78,16839,2014-10-20,Edmonton Oilers,3,2015,Tampa Bay Lightning,2
79,17565,2014-10-21,Boston Bruins,5,2015,San Jose Sharks,3
80,19289,2014-10-21,Calgary Flames,1,2015,Tampa Bay Lightning,2
81,21162,2014-10-21,Chicago Blackhawks,4,2015,Philadelphia Flyers,0
82,14440,2014-10-21,Colorado Avalanche,3,2015,Florida Panthers,4
83,15678,2014-10-21,Dallas Stars,6,2015,Vancouver Canucks,3
84,21287,2014-10-21,Montreal Canadiens,2,2015,Detroit Red Wings,1
85,14484,2014-10-21,New Jersey Devils,3,2015,New York Rangers,4
86,15694,2014-10-21,Nashville Predators,4,2015,Arizona Coyotes,3
87,11408,2014-10-21,New York Islanders,2,2015,Toronto Maple Leafs,5
88,15016,2014-10-21,Winnipeg Jets,3,2015,Carolina Hurricanes,1
89,16067,2014-10-22,Anaheim Ducks,4,2015,Buffalo Sabres,1
90,16839,2014-10-22,Edmonton Oilers,3,2015,Washington Capitals,2
91,18661,2014-10-22,Pittsburgh Penguins,3,2015,Philadelphia Flyers,5
92,17565,2014-10-23,Boston Bruins,2,2015,New York Islanders,3
93,19289,2014-10-23,Calgary Flames,5,2015,Carolina Hurricanes,0
94,20027,2014-10-23,Detroit Red Wings,4,2015,Pittsburgh Penguins,3
95,18230,2014-10-23,Los Angeles Kings,2,2015,Buffalo Sabres,0
96,18554,2014-10-23,Minnesota Wild,2,2015,Arizona Coyotes,0
97,17157,2014-10-23,Nashville Predators,3,2015,Chicago Blackhawks,2
98,17562,2014-10-23,San Jose Sharks,4,2015,Columbus Blue Jackets,5
99,16099,2014-10-23,St. Louis Blues,1,2015,Vancouver Canucks,4
100,15778,2014-10-24,Anaheim Ducks,4,2015,Columbus Blue Jackets,1
101,17119,2014-10-24,Colorado Avalanche,7,2015,Vancouver Canucks,3
102,16839,2014-10-24,Edmonton Oilers,6,2015,Carolina Hurricanes,3
